Indicator,Year,Count
Total_passenger,1984,9265132
Total_aircraft,1984,117721
Total_seats,1984,12786276
Total_distance,1984,621233
Total_passenger,1985,9985232
Total_aircraft,1985,127859
Total_seats,1985,13906325
Total_distance,1985,648369
Total_passenger,1986,10634281
Total_aircraft,1986,135170
Total_seats,1986,14776911
Total_distance,1986,656874
Total_passenger,1987,11422910
Total_aircraft,1987,143046
Total_seats,1987,15553583
Total_distance,1987,686087
Total_passenger,1988,12778587
Total_aircraft,1988,153556
Total_seats,1988,16576639
Total_distance,1988,659594
Total_passenger,1989,9679805
Total_aircraft,1989,124554
Total_seats,1989,13187765
Total_distance,1989,603234
Total_passenger,1990,12196059
Total_aircraft,1990,152038
Total_seats,1990,17310385
Total_distance,1990,613439
Total_passenger,1991,15984908
Total_aircraft,1991,186169
Total_seats,1991,21477373
Total_distance,1991,649508
Total_passenger,1992,16751770
Total_aircraft,1992,206551
Total_seats,1992,22398192
Total_distance,1992,643258
Total_passenger,1993,18689073
Total_aircraft,1993,220405
Total_seats,1993,25096002
Total_distance,1993,642956
Total_passenger,1994,21665355
Total_aircraft,1994,252424
Total_seats,1994,29767773
Total_distance,1994,699976
Total_passenger,1995,23558920
Total_aircraft,1995,284456
Total_seats,1995,33271446
Total_distance,1995,781898
Total_passenger,1996,24701444
Total_aircraft,1996,299211
Total_seats,1996,35267200
Total_distance,1996,768076
Total_passenger,1997,24840995
Total_aircraft,1997,301576
Total_seats,1997,34586116
Total_distance,1997,764582
Total_passenger,1998,24983881
Total_aircraft,1998,300368
Total_seats,1998,34449167
Total_distance,1998,760781
Total_passenger,1999,25826954
Total_aircraft,1999,301935
Total_seats,1999,34578016
Total_distance,1999,766895
Total_passenger,2000,27919718
Total_aircraft,2000,334220
Total_seats,2000,37177309
Total_distance,2000,750890
Total_passenger,2001,28585735
Total_aircraft,2001,337097
Total_seats,2001,38427550
Total_distance,2001,769243
Total_passenger,2002,27182777
Total_aircraft,2002,284539
Total_seats,2002,35356590
Total_distance,2002,804929
Total_passenger,2003,29934819
Total_aircraft,2003,293217
Total_seats,2003,37970951
Total_distance,2003,818337
Total_passenger,2004,34199922
Total_aircraft,2004,330535
Total_seats,2004,44075801
Total_distance,2004,810912
Total_passenger,2005,36121467
Total_aircraft,2005,345402
Total_seats,2005,46899474
Total_distance,2005,792233
Total_passenger,2006,37990758
Total_aircraft,2006,340325
Total_seats,2006,48725899
Total_distance,2006,799049
Total_passenger,2007,40049096
Total_aircraft,2007,340204
Total_seats,2007,49994555
Total_distance,2007,799044
Total_passenger,2008,43063354
Total_aircraft,2008,371664
Total_seats,2008,55474740
Total_distance,2008,824285
Total_passenger,2009,43946408
Total_aircraft,2009,372038
Total_seats,2009,54988171
Total_distance,2009,874276
Total_passenger,2010,47310316
Total_aircraft,2010,408218
Total_seats,2010,59539448
Total_distance,2010,904941
Total_passenger,2011,47228232
Total_aircraft,2011,407637
Total_seats,2011,59255959
Total_distance,2011,924050
Total_passenger,2012,49897427
Total_aircraft,2012,438837
Total_seats,2012,64560911
Total_distance,2012,943331
Total_passenger,2013,51527961
Total_aircraft,2013,460389
Total_seats,2013,67835368
Total_distance,2013,977674
Total_passenger,2014,51950453
Total_aircraft,2014,465353
Total_seats,2014,67968633
Total_distance,2014,971176
Total_passenger,2015,52396708
Total_aircraft,2015,477501
Total_seats,2015,68504863
Total_distance,2015,980227
Total_passenger,2016,53913538
Total_aircraft,2016,482024
Total_seats,2016,69255232
Total_distance,2016,989412
Total_passenger,2017,54629078
Total_aircraft,2017,471363
Total_seats,2017,68728536
Total_distance,2017,986015
Total_passenger,2018,55486043
Total_aircraft,2018,463350
Total_seats,2018,68878081
Total_distance,2018,1008696
Total_passenger,2019,55630616
Total_aircraft,2019,466496
Total_seats,2019,69016524
Total_distance,2019,1012626
Total_passenger,2020,16253974
Total_aircraft,2020,162163
Total_seats,2020,23064409
Total_distance,2020,1025966
