Route,Total,Year
MELBOURNE-SYDNEY,9240010,2018
BRISBANE-SYDNEY,4825478,2018
BRISBANE-MELBOURNE,3569361,2018
GOLD COAST-SYDNEY,2722796,2018
ADELAIDE-MELBOURNE,2498204,2018
MELBOURNE-PERTH,2113233,2018
MELBOURNE-GOLD COAST,2060760,2018
ADELAIDE-SYDNEY,1906655,2018
PERTH-SYDNEY,1716911,2018
HOBART-MELBOURNE,1652803,2018
MELBOURNE-SYDNEY,9181932,2019
BRISBANE-SYDNEY,4821044,2019
BRISBANE-MELBOURNE,3608681,2019
GOLD COAST-SYDNEY,2733109,2019
ADELAIDE-MELBOURNE,2538061,2019
MELBOURNE-GOLD COAST,2122157,2019
MELBOURNE-PERTH,2110125,2019
ADELAIDE-SYDNEY,1878741,2019
PERTH-SYDNEY,1692031,2019
HOBART-MELBOURNE,1670181,2019
MELBOURNE-SYDNEY,2249844,2020
BRISBANE-SYDNEY,1299668,2020
BRISBANE-MELBOURNE,928760,2020
BRISBANE-CAIRNS,728769,2020
GOLD COAST-SYDNEY,701741,2020
ADELAIDE-MELBOURNE,609459,2020
ADELAIDE-SYDNEY,576882,2020
MELBOURNE-PERTH,543990,2020
MELBOURNE-GOLD COAST,513586,2020
BRISBANE-TOWNSVILLE,509579,2020
